frame,tracker_id,vehicle_class,speed,acceleration,distance_to_nearest,direction_change,avg_traffic_speed,relative_speed
1,1,car,0,0.0,131.27,0.0,0.0,0.0
1,2,car,0,0.0,131.27,0.0,0.0,0.0
1,3,car,0,0.0,506.37,0.0,0.0,0.0
1,4,car,0,0.0,56.14,0.0,0.0,0.0
1,5,car,0,0.0,222.15,0.0,0.0,0.0
1,6,car,0,0.0,56.14,0.0,0.0,0.0
1,7,car,0,0.0,38.72,0.0,0.0,0.0
1,8,car,0,0.0,20.02,0.0,0.0,0.0
1,9,car,0,0.0,23.93,0.0,0.0,0.0
1,10,car,0,0.0,27.75,0.0,0.0,0.0
1,11,bus,0,0.0,1.03,0.0,0.0,0.0
1,12,truck,0,0.0,1.03,0.0,0.0,0.0
1,13,car,0,0.0,26.68,0.0,0.0,0.0
1,14,truck,0,0.0,31.66,0.0,0.0,0.0
1,15,car,0,0.0,20.02,0.0,0.0,0.0
1,16,car,0,0.0,23.93,0.0,0.0,0.0
1,17,car,0,0.0,31.66,0.0,0.0,0.0
1,18,car,0,0.0,30.61,0.0,0.0,0.0
1,19,car,0,0.0,30.61,0.0,0.0,0.0
1,20,truck,0,0.0,31.43,0.0,0.0,0.0
1,21,car,0,0.0,30.84,0.0,0.0,0.0
2,2,car,0,0.0,128.16,0.0,0.0,0.0
2,5,car,0,0.0,218.82,0.0,0.0,0.0
2,4,car,0,0.0,57.65,0.0,0.0,0.0
2,3,car,0,0.0,517.15,0.0,0.0,0.0
2,6,car,0,0.0,57.65,0.0,0.0,0.0
2,7,car,0,0.0,38.44,0.0,0.0,0.0
2,8,car,0,0.0,20.05,0.0,0.0,0.0
2,1,car,0,0.0,128.16,0.0,0.0,0.0
2,9,car,0,0.0,23.79,0.0,0.0,0.0
2,10,car,0,0.0,27.52,0.0,0.0,0.0
2,11,bus,0,0.0,0.67,0.0,0.0,0.0
2,12,truck,0,0.0,0.67,0.0,0.0,0.0
2,13,car,0,0.0,25.95,0.0,0.0,0.0
2,16,car,0,0.0,23.79,0.0,0.0,0.0
2,15,car,0,0.0,20.05,0.0,0.0,0.0
2,17,car,0,0.0,31.68,0.0,0.0,0.0
2,18,car,0,0.0,30.25,0.0,0.0,0.0
2,14,truck,0,0.0,31.68,0.0,0.0,0.0
2,20,truck,0,0.0,32.73,0.0,0.0,0.0
2,19,car,0,0.0,30.25,0.0,0.0,0.0
2,21,car,0,0.0,32.08,0.0,0.0,0.0
3,5,car,0,0,216.13,2.64,0.0,0.0
3,2,car,0,0,125.01,2.04,0.0,0.0
3,1,car,0,0,125.01,3.35,0.0,0.0
3,4,car,0,0,59.36,10.63,0.0,0.0
3,6,car,0,0,59.36,2.59,0.0,0.0
3,8,car,0,0,20.61,64.28,0.0,0.0
3,7,car,0,0,37.99,10.53,0.0,0.0
3,9,car,0,0,23.7,4.99,0.0,0.0
3,11,bus,0,0,0.82,12.58,0.0,0.0
3,10,car,0,0,27.63,121.37,0.0,0.0
3,3,car,0,0,524.56,14.15,0.0,0.0
3,15,car,0,0,20.61,17.7,0.0,0.0
3,16,car,0,0,23.7,12.04,0.0,0.0
3,13,car,0,0,26.41,86.3,0.0,0.0
3,12,truck,0,0,0.82,9.81,0.0,0.0
3,20,truck,0,0,32.43,19.97,0.0,0.0
3,14,truck,0,0,31.0,1.53,0.0,0.0
3,19,car,0,0,29.92,2.94,0.0,0.0
3,18,car,0,0,29.92,0.0,0.0,0.0
3,17,car,0,0,31.0,23.41,0.0,0.0
3,21,car,0,0,32.23,133.55,0.0,0.0
4,1,car,0,0,122.14,3.64,0.0,0.0
4,5,car,0,0,213.24,5.52,0.0,0.0
4,2,car,0,0,122.14,5.3,0.0,0.0
4,4,car,0,0,60.4,9.61,0.0,0.0
4,6,car,0,0,60.4,25.94,0.0,0.0
4,7,car,0,0,37.65,2.89,0.0,0.0
4,8,car,0,0,20.74,18.43,0.0,0.0
4,9,car,0,0,23.58,91.74,0.0,0.0
4,10,car,0,0,28.43,58.34,0.0,0.0
4,11,bus,0,0,267.18,25.94,0.0,0.0
4,13,car,0,0,26.03,113.1,0.0,0.0
4,16,car,0,0,23.58,62.48,0.0,0.0
4,15,car,0,0,20.74,77.64,0.0,0.0
4,14,truck,0,0,30.91,2.77,0.0,0.0
4,20,truck,0,0,32.92,25.95,0.0,0.0
4,19,car,0,0,29.84,23.91,0.0,0.0
4,18,car,0,0,29.84,116.12,0.0,0.0
4,17,car,0,0,30.91,7.73,0.0,0.0
4,21,car,0,0,31.81,22.5,0.0,0.0
5,2,car,0,0,119.09,9.95,0.0,0.0
5,4,car,0,0,61.8,13.6,0.0,0.0
5,6,car,0,0,61.8,10.44,0.0,0.0
5,1,car,0,0,119.09,8.45,0.0,0.0
5,7,car,0,0,36.92,24.95,0.0,0.0
5,5,car,0,0,208.36,5.3,0.0,0.0
5,8,car,0,0,21.11,32.08,0.0,0.0
5,10,car,0,0,29.38,49.26,0.0,0.0
5,9,car,0,0,23.9,71.52,0.0,0.0
5,11,bus,0,0,267.73,39.46,0.0,0.0
5,16,car,0,0,23.9,8.49,0.0,0.0
5,15,car,0,0,21.11,58.59,0.0,0.0
5,13,car,0,0,25.7,144.78,0.0,0.0
5,14,truck,0,0,27.72,22.09,0.0,0.0
5,19,car,0,0,24.63,26.33,0.0,0.0
5,18,car,0,0,22.1,143.91,0.0,0.0
5,24,truck,0,0.0,25.02,0.0,0.0,0.0
5,21,car,0,0,31.94,1.24,0.0,0.0
5,17,car,0,0,25.02,28.46,0.0,0.0
5,23,car,0,0.0,22.1,0.0,0.0,0.0
5,20,truck,0,0,32.12,86.68,0.0,0.0
6,2,car,0,0,116.6,4.44,0.0,0.0
6,4,car,0,0,63.57,12.95,0.0,0.0
6,7,car,0,0,37.29,17.57,0.0,0.0
6,6,car,0,0,63.57,10.64,0.0,0.0
6,5,car,0,0,207.5,5.45,0.0,0.0
6,10,car,0,0,30.57,9.3,0.0,0.0
6,8,car,0,0,21.12,55.53,0.0,0.0
6,1,car,0,0,116.6,1.31,0.0,0.0
6,9,car,0,0,23.97,9.1,0.0,0.0
6,11,bus,0,0,0.29,56.91,0.0,0.0
6,15,car,0,0,21.12,23.54,0.0,0.0
6,16,car,0,0,23.97,38.12,0.0,0.0
6,14,truck,0,0,26.81,21.16,0.0,0.0
6,13,car,0,0,25.45,1.33,0.0,0.0
6,25,bus,0,0.0,0.29,0.0,0.0,0.0
6,19,car,0,0,25.3,95.72,0.0,0.0
6,18,car,0,0,23.51,64.21,0.0,0.0
6,20,truck,0,0,31.98,146.37,0.0,0.0
6,24,truck,0,0.0,24.61,0.0,0.0,0.0
6,21,car,0,0,32.34,42.63,0.0,0.0
6,17,car,0,0,24.61,80.11,0.0,0.0
6,23,car,0,0.0,23.51,0.0,0.0,0.0
7,2,car,0,0,113.4,13.36,0.0,0.0
7,4,car,0,0,64.41,3.39,0.0,0.0
7,1,car,0,0,113.4,6.51,0.0,0.0
7,7,car,0,0,37.68,43.1,0.0,0.0
7,11,bus,0,0,0.49,38.14,0.0,0.0
7,6,car,0,0,64.41,21.92,0.0,0.0
7,5,car,0,0,204.84,11.08,0.0,0.0
7,10,car,0,0,29.4,112.96,0.0,0.0
7,8,car,0,0,21.41,29.35,0.0,0.0
7,9,car,0,0,24.4,37.23,0.0,0.0
7,14,truck,0,0,26.19,18.6,0.0,0.0
7,16,car,0,0,24.4,3.19,0.0,0.0
7,13,car,0,0,26.2,72.13,0.0,0.0
7,15,car,0,0,21.41,49.53,0.0,0.0
7,19,car,0,0,26.44,153.14,0.0,0.0
7,20,truck,0,0,31.23,84.93,0.0,0.0
7,25,bus,0,0.0,0.49,0.0,0.0,0.0
7,24,truck,0,0,24.31,68.04,0.0,0.0
7,23,car,0,0,24.97,36.12,0.0,0.0
7,21,car,0,0,32.9,68.35,0.0,0.0
7,18,car,0,0,24.97,11.11,0.0,0.0
7,17,car,0,0,24.31,47.69,0.0,0.0
8,2,car,0,0,110.65,32.22,0.0,0.0
8,4,car,0,0,65.82,3.31,0.0,0.0
8,5,car,0,0,200.7,3.23,0.0,0.0
8,6,car,0,0,65.82,18.07,0.0,0.0
8,7,car,0,0,38.12,35.17,0.0,0.0
8,11,bus,0,0,272.55,14.7,0.0,0.0
8,10,car,0,0,30.57,120.74,0.0,0.0
8,9,car,0,0,23.81,78.71,0.0,0.0
8,8,car,0,0,22.18,23.1,0.0,0.0
8,14,truck,0,0,26.04,6.02,0.0,0.0
8,16,car,0,0,23.81,40.49,0.0,0.0
8,13,car,0,0,25.83,54.59,0.0,0.0
8,19,car,0,0,26.72,30.01,0.0,0.0
8,1,car,0,0,110.65,15.12,0.0,0.0
8,15,car,0,0,22.18,51.94,0.0,0.0
8,20,truck,0,0,32.13,86.8,0.0,0.0
8,23,car,0,0,26.72,16.66,0.0,0.0
8,21,car,0,0,32.12,139.68,0.0,0.0
8,18,car,0,0,27.15,29.09,0.0,0.0
8,24,truck,0,0,23.41,14.91,0.0,0.0
8,17,car,0,0,23.41,28.48,0.0,0.0
9,5,car,0,0,198.38,16.95,0.0,0.0
9,4,car,0,0,67.84,1.88,0.0,0.0
9,2,car,0,0,110.37,1.71,0.0,0.0
9,6,car,0,0,67.84,6.02,0.0,0.0
9,7,car,0,0,47.05,4.37,0.0,0.0
9,8,car,0,0,21.76,8.15,0.0,0.0
9,10,car,0,0,30.72,42.43,0.0,0.0
9,9,car,0,0,23.95,33.78,0.0,0.0
9,13,car,0,0,26.05,54.68,0.0,0.0
9,14,truck,0,0,26.8,75.95,0.0,0.0
9,1,car,0,0,110.37,18.14,0.0,0.0
9,11,bus,0,0,275.76,20.08,0.0,0.0
9,16,car,0,0,23.95,89.62,0.0,0.0
9,15,car,0,0,21.76,18.14,0.0,0.0
9,28,van,0,0.0,573.0,0.0,0.0,0.0
9,19,car,0,0,26.84,0.0,0.0,0.0
9,18,car,0,0,27.59,48.02,0.0,0.0
9,23,car,0,0,26.84,50.56,0.0,0.0
9,20,truck,0,0,33.53,8.4,0.0,0.0
9,21,car,0,0,32.14,6.73,0.0,0.0
9,24,truck,0,0,26.8,9.5,0.0,0.0
10,11,bus,0,0,277.66,23.67,0.0,0.0
10,1,car,0,0,108.9,7.21,0.0,0.0
10,4,car,0,0,69.81,0.69,0.0,0.0
10,2,car,0,0,108.9,11.61,0.0,0.0
10,7,car,0,0,38.06,7.06,0.0,0.0
10,6,car,0,0,69.02,36.21,0.0,0.0
10,5,car,0,0,195.58,8.32,0.0,0.0
10,8,car,0,0,21.96,42.02,0.0,0.0
10,10,car,0,0,31.07,1.96,0.0,0.0
10,9,car,0,0,24.12,18.78,0.0,0.0
